coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded
Kanga Exchange,KNG,$9.86,ethereum,-0.015067881997884332,8.480069661984109,"$143,855","$206,993,056",-,-,7 days
Umami Finance,UMAMI,$84.12,Arbitrum One,1.330903595391513,14.775608519099467,"$508,552",?,-,-,8 days
Index Coop - ETH 2x Flexible Leverage Index (Polygon),ETH2X-FLI-P,$83.32,Polygon POS,-1.3466738712037452,-10.912882341842032,"$17,717.35",?,-,-,7 days
Bitcoin BR,BTCBR,$8.18,Binance Smart Chain,-0.1794811958871051,296.1252093479677,$862.54,?,-,-,6 days
Surviving Soldiers,SSG,$6.77,Binance Smart Chain,0.7229430557485634,2.9832864420259595,"$13,421,685",?,-,-,11 days
Bent Finance,BENT,$6.32,ethereum,-0.10558829743822122,-4.659157583984966,"$205,840","$632,072,021",-,-,3 days
Biconomy,BICO,$6.18,ethereum,1.4575608662473893,2.0798026460811907,"$224,689,205","$6,189,061,939",-,-,9 days
Waves Exchange,WX,$6.17,Waves,-1.2772812984064366,-15.557279703388843,"$618,973","$6,177,197,690",-,-,3 days
Turtles Token,TRTLS,$6.04,Solana,-1.8735983261115061,-6.850048816137679,"$43,242.89",?,-,-,10 days
Fenix Danjon,DJN,$59.64,Solana,-24.10790423455428,-59.32440128689754,"$4,478.39",?,-,-,8 days
Rome,ROME,$546.65,Moonriver,0.9382652519817893,-16.675163640653196,"$6,208,284",?,-,-,9 days
Crypto Development Services,CDS,$5.88,Binance Smart Chain,-2.1393173579000666,-4.197062374714893,"$6,318.32",?,-,-,2 days
Limocoin Swap,LMCSWAP,$5.46,Binance Smart Chain,-3.3000939708326884,40.38892769367877,"$209,447","$9,381,863,684",-,-,12 days
Santos FC Fan Token,SANTOS,$5.11,Binance Smart Chain,-1.2831128089429953,7.469168402170322,"$24,630,297",?,-,-,8 days
KingPad,CROWN,$5.02,Binance Smart Chain,-0.5740331014537606,-10.087463378170275,"$317,991",?,-,-,7 days
Diamond XRPL,DIAMOND,$492.56,XRP Ledger,-1.9740517916331257,-13.759018987396018,"$86,616.09",?,-,-,9 days
Manifest,MNFST,$49.54,ethereum,-1.1366687603014016,4.229869711089663,"$26,588.45","$2,640,839",-,-,10 days
Mirrored SPDR S&P 500,MSPY,$471.95,,0.24395731536515994,0.4158473438555502,"$185,177",?,-,-,9 days
Wrapped BCH,WBCH,$452.44,,-0.07130235587738204,-2.090660775426312,"$415,666",?,-,-,13 hours
CheeseDAO,CHEEZ,$45.83,Harmony Shard 0,-3.437339931269814,-12.016175704623352,"$1,039,456",?,-,-,7 days
Templar DAO,TEM,$432.19,Binance Smart Chain,4.885484771799602,8.969525094325451,"$481,766",?,-,-,10 days
Staked Klima,SKLIMA,$427.18,Polygon POS,4.235281187253002,-26.193999972028102,"$5,743.29",?,-,-,10 days
Integritee,TEER,$4.70,,-0.15920435120657245,-6.2288211205439294,"$32,040.23","$47,041,413",-,-,8 days
Smart Token,SMART,$4.36,Fantom,-2.3364813826280235,-9.905065450892629,"$1,379.16","$436,311",-,-,10 days
Anchor bETH Token,BETH,"$4,026.15",Terra,-1.8061030076534095,-6.747402663895236,"$2,317,984",?,-,-,10 days
MetaversePRO,META,$374.47,Binance Smart Chain,1.9800227135976567,18.084666877851603,"$9,761,656","$374,465,823",-,-,21 hours
Vibranium,VBN,$35.01,Binance Smart Chain,-0.7237750869333405,-8.153244773329677,"$524,325","$63,048,453",-,-,3 days
Dragon Knight,DK,$34.96,Binance Smart Chain,-0.28016563898389374,-2.9697375317228767,"$24,220.40","$24,319,315",-,-,2 days
CrimeGold,CGOLD,"$339,534",Binance Smart Chain,-0.9330787433995824,32.78101295398033,"$348,840","$34,044,319,794",-,-,2 days
Trick,TRICK,$31.24,Fantom,-4.410587965532911,-49.38203008288348,"$155,093","$46,853.94",-,-,6 days
HeroFi Token,ROFI,$3.30,Binance Smart Chain,1.4657520334309722,-2.95719385665102,"$214,651",?,-,-,2 days
Dawn Wars,DW,$3.09,Binance Smart Chain,-1.0450738246850928,-6.024215882377802,"$131,859","$30,980,578",-,-,6 days
